video_id,control_approval,video_approval,treatment_effect
1,0.4266,0.5385,0.1119
2,0.4266,0.3095,-0.1171
3,0.4266,0.525,0.0984
4,0.4266,0.4545,0.0279
5,0.4266,0.5294,0.1028
6,0.4266,0.3448,-0.0818
7,0.4266,0.3846,-0.042
8,0.4266,0.5,0.0734
9,0.4266,0.5172,0.0906
10,0.4266,0.4211,-0.0056
11,0.4266,0.4545,0.0279
12,0.4266,0.5926,0.166
13,0.4266,0.3103,-0.1163
14,0.4266,0.3438,-0.0829
15,0.4266,0.4222,-0.0044
16,0.4266,0.3958,-0.0308
17,0.4266,0.4138,-0.0128
18,0.4266,0.5862,0.1596
19,0.4266,0.4444,0.0178
20,0.4266,0.4571,0.0305
21,0.4266,0.5,0.0734
22,0.4266,0.381,-0.0457
23,0.4266,0.4,-0.0266
24,0.4266,0.5,0.0734
25,0.4266,0.5778,0.1512
26,0.4266,0.4516,0.025
27,0.4266,0.375,-0.0516
28,0.4266,0.3478,-0.0788
29,0.4266,0.5,0.0734
30,0.4266,0.25,-0.1766
31,0.4266,0.45,0.0234
32,0.4266,0.4,-0.0266
33,0.4266,0.4054,-0.0212
34,0.4266,0.3611,-0.0655
35,0.4266,0.4359,0.0093
36,0.4266,0.375,-0.0516
37,0.4266,0.4242,-0.0024
38,0.4266,0.5312,0.1046
39,0.4266,0.4286,0.002
40,0.4266,0.4324,0.0058
41,0.4266,0.4318,0.0052
42,0.4266,0.4615,0.0349
43,0.4266,0.3421,-0.0845
44,0.4266,0.5143,0.0877
45,0.4266,0.4286,0.002
46,0.4266,0.4878,0.0612
47,0.4266,0.4444,0.0178
48,0.4266,0.2647,-0.1619
49,0.4266,0.4483,0.0217
50,0.4266,0.3704,-0.0562
51,0.4266,0.5135,0.0869
52,0.4266,0.4706,0.044
53,0.4266,0.4722,0.0456
54,0.4266,0.3889,-0.0377
55,0.4266,0.4194,-0.0073
56,0.4266,0.5172,0.0906
57,0.4266,0.5526,0.126
58,0.4266,0.3871,-0.0395
59,0.4266,0.2917,-0.1349
60,0.4266,0.5172,0.0906
61,0.4266,0.3421,-0.0845
62,0.4266,0.3478,-0.0788
63,0.4266,0.5,0.0734
64,0.4266,0.3659,-0.0608
65,0.4266,0.3111,-0.1155
66,0.4266,0.413,-0.0136
67,0.4266,0.3636,-0.063
68,0.4266,0.325,-0.1016
69,0.4266,0.5294,0.1028
70,0.4266,0.2973,-0.1293
71,0.4266,0.4706,0.044
72,0.4266,0.4242,-0.0024
73,0.4266,0.4194,-0.0073
74,0.4266,0.4762,0.0496
75,0.4266,0.4375,0.0109
76,0.4266,0.3721,-0.0545
77,0.4266,0.5143,0.0877
78,0.4266,0.4222,-0.0044
79,0.4266,0.325,-0.1016
80,0.4266,0.4583,0.0317
81,0.4266,0.3448,-0.0818
82,0.4266,0.3929,-0.0338
83,0.4266,0.3214,-0.1052
84,0.4266,0.4194,-0.0073
85,0.4266,0.3333,-0.0933
86,0.4266,0.5588,0.1322
87,0.4266,0.413,-0.0136
88,0.4266,0.4516,0.025
89,0.4266,0.4706,0.044
90,0.4266,0.4242,-0.0024
91,0.4266,0.28,-0.1466
92,0.4266,0.413,-0.0136
93,0.4266,0.5,0.0734
94,0.4266,0.4545,0.0279
95,0.4266,0.4186,-0.008
96,0.4266,0.3704,-0.0562
97,0.4266,0.3333,-0.0933
98,0.4266,0.3333,-0.0933
99,0.4266,0.4706,0.044
100,0.4266,0.4872,0.0606
101,0.4266,0.3056,-0.1211
102,0.4266,0.3548,-0.0718
103,0.4266,0.3333,-0.0933
104,0.4266,0.5185,0.0919
105,0.4266,0.375,-0.0516
106,0.4266,0.4688,0.0421
107,0.4266,0.3438,-0.0829
108,0.4266,0.4211,-0.0056
109,0.4266,0.4,-0.0266
110,0.4266,0.3684,-0.0582
111,0.4266,0.3333,-0.0933
112,0.4266,0.48,0.0534
113,0.4266,0.4211,-0.0056
114,0.4266,0.3902,-0.0364
115,0.4266,0.5455,0.1188
116,0.4266,0.4062,-0.0204
117,0.4266,0.3333,-0.0933
118,0.4266,0.2581,-0.1685
119,0.4266,0.4,-0.0266
120,0.4266,0.3684,-0.0582
121,0.4266,0.5128,0.0862
122,0.4266,0.5667,0.1401
123,0.4266,0.4118,-0.0148
124,0.4266,0.2258,-0.2008
125,0.4266,0.2778,-0.1488
126,0.4266,0.3333,-0.0933
127,0.4266,0.3548,-0.0718
